sku,salesdate,price,unitsordered,sales,adspend,profit,managed_fba_stock_level,us_dollar_index,consumer_price_index,producer_price_index,subgroup,day_of_week,month,season,profit_margin,avg_pricing,avg_comp_pricing
Envelopes SKU 4,2022-01-01,29.49,19,560.0,0.0,84.0,,115.4243,282.542,242.783,Envelopes,Saturday,January,Winter,0.15,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-02,29.99,13,390.0,0.0,64.0,,115.4243,282.542,242.783,Envelopes,Sunday,January,Winter,0.1641025641025641,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-03,29.69,84,2494.0,0.0,388.0,,115.4243,282.542,242.783,Envelopes,Monday,January,Winter,0.15557337610264635,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-04,29.79,78,2324.0,0.0,366.0,,115.3263,282.542,242.783,Envelopes,Tuesday,January,Winter,0.15748709122203097,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-05,29.79,83,2473.0,0.0,390.0,,115.1524,282.542,242.783,Envelopes,Wednesday,January,Winter,0.15770319450060655,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-06,29.89,61,1823.0,0.0,292.0,,115.4189,282.542,242.783,Envelopes,Thursday,January,Winter,0.16017553483269337,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-07,29.29,66,1933.0,0.0,281.0,,115.0596,282.542,242.783,Envelopes,Friday,January,Winter,0.1453698913605794,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-08,29.99,18,540.0,0.0,88.0,,115.235,282.542,242.783,Envelopes,Saturday,January,Winter,0.16296296296296298,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-09,29.99,20,600.0,0.0,98.0,,115.235,282.542,242.783,Envelopes,Sunday,January,Winter,0.16333333333333333,31.490000000000002,29.479999999999997
Envelopes SKU 4,2022-01-10,29.89,70,2092.0,0.0,334.0,,115.235,282.542,242.783,Envelopes,Monday,January,Winter,0.15965583173996176,31.490000000000002,30.305
Envelopes SKU 4,2022-01-11,29.59,102,3018.0,0.0,461.0,,114.8467,282.542,242.783,Envelopes,Tuesday,January,Winter,0.1527501656726309,31.490000000000002,30.305
Envelopes SKU 4,2022-01-12,29.79,91,2711.0,0.0,427.0,,114.3713,282.542,242.783,Envelopes,Wednesday,January,Winter,0.15750645518258946,31.490000000000002,30.305
Envelopes SKU 4,2022-01-13,29.79,135,4022.0,0.0,634.0,,114.1934,282.542,242.783,Envelopes,Thursday,January,Winter,0.15763301839880656,31.490000000000002,30.305
Envelopes SKU 4,2022-01-14,29.49,120,3539.0,0.0,533.0,,114.3968,282.542,242.783,Envelopes,Friday,January,Winter,0.15060751624752755,31.490000000000002,30.305
Envelopes SKU 4,2022-01-15,29.89,35,1046.0,0.0,167.0,,114.7513,282.542,242.783,Envelopes,Saturday,January,Winter,0.15965583173996176,31.490000000000002,30.305
Envelopes SKU 4,2022-01-16,29.89,31,927.0,0.0,148.0,,114.7513,282.542,242.783,Envelopes,Sunday,January,Winter,0.15965480043149946,31.490000000000002,30.305
Envelopes SKU 4,2022-01-17,29.79,87,2592.0,0.0,408.0,,114.7513,282.542,242.783,Envelopes,Monday,January,Winter,0.1574074074074074,31.490000000000002,30.305
Envelopes SKU 4,2022-01-18,29.79,112,3336.0,0.0,525.0,,114.7513,282.542,242.783,Envelopes,Tuesday,January,Winter,0.15737410071942445,31.490000000000002,29.479999999999997
